time,latitude,longitude,REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,Date_UTC,HABITAT_CD,STRAT,RUGOSITY_CD,WTD_RUG,MEAN_RUG,MAPGRID_NR,SUB_REGION_NAME,SUB_REGION_NR,ZONE_NAME,ZONE_NR,MPA_NAME,MPA_NR,ADMIN,PROT,DEPTH_STRAT,MIN_DEPTH,MAX_DEPTH,METERS_COMPLETED,COVER_CAT_CD,COVER_CAT_NAME,HARDBOTTOM_P,SOFTBOTTOM_P,RUBBLE_P,accession_url
UTC,degrees_north,degrees_east,,,,,,,UTC,,,,,m,,,,,,,,,,,m,m,m,,,percent,percent,percent,
2019-07-18T00:00:00Z,18.14334361,-67.30063227,PRICO,6243,1,2019,7,18,2019-07-18T00:00:00Z,PVMT,PVMT_SHLW,NA,NaN,0.1,7826790,SWPRICO,NaN,NA,NaN,NA,NA,OPEN,NA,SHLW,8.839199717,9.448799698,15,BAR SUB.,Bare Substrate,29,0,0,https://accession.nodc.noaa.gov/0217139
2019-07-18T00:00:00Z,18.14334361,-67.30063227,PRICO,6243,1,2019,7,18,2019-07-18T00:00:00Z,PVMT,PVMT_SHLW,NA,NaN,0.1,7826790,SWPRICO,NaN,NA,NaN,NA,NA,OPEN,NA,SHLW,8.839199717,9.448799698,15,CYA SPE.,Cyanophyta spp,4,0,0,https://accession.nodc.noaa.gov/0217139
2019-07-18T00:00:00Z,18.14334361,-67.30063227,PRICO,6243,1,2019,7,18,2019-07-18T00:00:00Z,PVMT,PVMT_SHLW,NA,NaN,0.1,7826790,SWPRICO,NaN,NA,NaN,NA,NA,OPEN,NA,SHLW,8.839199717,9.448799698,15,DIC SPE.,Dictyota spp,18,0,0,https://accession.nodc.noaa.gov/0217139
2019-07-18T00:00:00Z,18.14334361,-67.30063227,PRICO,6243,1,2019,7,18,2019-07-18T00:00:00Z,PVMT,PVMT_SHLW,NA,NaN,0.1,7826790,SWPRICO,NaN,NA,NaN,NA,NA,OPEN,NA,SHLW,8.839199717,9.448799698,15,GOR GORG,Gorgonians,1,0,0,https://accession.nodc.noaa.gov/0217139
2019-07-18T00:00:00Z,18.14334361,-67.30063227,PRICO,6243,1,2019,7,18,2019-07-18T00:00:00Z,PVMT,PVMT_SHLW,NA,NaN,0.1,7826790,SWPRICO,NaN,NA,NaN,NA,NA,OPEN,NA,SHLW,8.839199717,9.448799698,15,HAL SPE.,Halimeda spp,8,0,0,https://accession.nodc.noaa.gov/0217139
2019-07-18T00:00:00Z,18.14334361,-67.30063227,PRICO,6243,1,2019,7,18,2019-07-18T00:00:00Z,PVMT,PVMT_SHLW,NA,NaN,0.1,7826790,SWPRICO,NaN,NA,NaN,NA,NA,OPEN,NA,SHLW,8.839199717,9.448799698,15,LOB SPE.,Lobophora spp,1,0,0,https://accession.nodc.noaa.gov/0217139
2019-07-18T00:00:00Z,18.14334361,-67.30063227,PRICO,6243,1,2019,7,18,2019-07-18T00:00:00Z,PVMT,PVMT_SHLW,NA,NaN,0.1,7826790,SWPRICO,NaN,NA,NaN,NA,NA,OPEN,NA,SHLW,8.839199717,9.448799698,15,MAC CALC,MacroOtherCalcareous,1,0,0,https://accession.nodc.noaa.gov/0217139
2019-07-18T00:00:00Z,18.14334361,-67.30063227,PRICO,6243,1,2019,7,18,2019-07-18T00:00:00Z,PVMT,PVMT_SHLW,NA,NaN,0.1,7826790,SWPRICO,NaN,NA,NaN,NA,NA,OPEN,NA,SHLW,8.839199717,9.448799698,15,MAC FLES,MacroOtherFleshy,26,0,0,https://accession.nodc.noaa.gov/0217139
2019-07-18T00:00:00Z,18.14334361,-67.30063227,PRICO,6243,1,2019,7,18,2019-07-18T00:00:00Z,PVMT,PVMT_SHLW,NA,NaN,0.1,7826790,SWPRICO,NaN,NA,NaN,NA,NA,OPEN,NA,SHLW,8.839199717,9.448799698,15,RHO CRUS,Rhodophyta cru. spp,2,0,0,https://accession.nodc.noaa.gov/0217139
